wealth_tier,education_tier,residence,caste_group,barrier_type,N,suppress_flag,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Middle,Primary,Rural,Other Caste,Logistical Barrier,12359,False,0.337811,0.520135,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Other Caste,Health Facility Barrier,12359,False,0.470345,0.507574,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Tribe,Household Barrier,1637,False,0.302993,0.526496,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Tribe,Logistical Barrier,1637,False,0.367746,0.551991,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Tribe,Health Facility Barrier,1637,False,0.450214,0.501625,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Don't Know,Household Barrier,37,False,0.27027,0.480606,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Don't Know,Logistical Barrier,37,False,0.27027,0.43254,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Don't Know,Health Facility Barrier,37,False,0.459459,0.417477,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,No Caste/Tribe,Household Barrier,210,False,0.328571,0.547283,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,No Caste/Tribe,Logistical Barrier,210,False,0.257143,0.404286,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,No Caste/Tribe,Health Facility Barrier,210,False,0.442857,0.519332,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
