state_name,barrier_type,N,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Sikkim,Facility,3271,0.613268,0.484662,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Tamil Nadu,Household,25650,0.196101,0.399333,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Tamil Nadu,Logistic,25650,0.239064,0.399861,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Tamil Nadu,Facility,25650,0.262339,0.445614,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Telangana,Household,27518,0.283414,0.437491,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Telangana,Logistic,27518,0.39367,0.451894,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Telangana,Facility,27518,0.441093,0.483208,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Tripura,Household,7314,0.469374,0.56059,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Tripura,Logistic,7314,0.318567,0.553037,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Tripura,Facility,7314,0.474569,0.557293,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Uttar Pradesh,Household,93124,0.264765,0.494014,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Uttar Pradesh,Logistic,93124,0.263971,0.492237,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Uttar Pradesh,Facility,93124,0.397663,0.503489,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Uttarakhand,Household,13280,0.13637,0.428721,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Uttarakhand,Logistic,13280,0.344352,0.44861,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Uttarakhand,Facility,13280,0.522816,0.481535,Rail A — Observed,Rail B — BarrierLens OOF Prediction
West Bengal,Household,21408,0.496357,0.540028,Rail A — Observed,Rail B — BarrierLens OOF Prediction
West Bengal,Logistic,21408,0.337444,0.515364,Rail A — Observed,Rail B — BarrierLens OOF Prediction
West Bengal,Facility,21408,0.500374,0.531757,Rail A — Observed,Rail B — BarrierLens OOF Prediction
